time_us,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z
0.000000,-0.592495,0.013473,0.080251,0.674152,0.002947,-0.004175,0.738575
10000.000000,-0.592518,0.013559,0.080329,0.674156,0.003067,-0.004064,0.738571
20000.000000,-0.592509,0.013558,0.080323,0.674129,0.003112,-0.004029,0.738596
30000.000000,-0.592447,0.013417,0.080182,0.674049,0.002987,-0.004166,0.738669
40000.000000,-0.592396,0.013353,0.080115,0.673921,0.002925,-0.004264,0.738786
50000.000000,-0.592387,0.013464,0.080215,0.673766,0.003063,-0.004191,0.738927
60000.000000,-0.592370,0.013524,0.080269,0.673635,0.003158,-0.004135,0.739046
70000.000000,-0.592325,0.013449,0.080199,0.673562,0.003084,-0.004194,0.739112
80000.000000,-0.592304,0.013432,0.080186,0.673548,0.003042,-0.004189,0.739126
90000.000000,-0.592326,0.013549,0.080301,0.673573,0.003146,-0.004027,0.739103
100000.000000,-0.592327,0.013575,0.080327,0.673603,0.003159,-0.003937,0.739076
110000.000000,-0.592294,0.013466,0.080219,0.673613,0.003003,-0.004001,0.739068
120000.000000,-0.592282,0.013423,0.080171,0.673600,0.002895,-0.004029,0.739079
130000.000000,-0.592307,0.013513,0.080251,0.673583,0.002934,-0.003928,0.739095
140000.000000,-0.592315,0.013520,0.080255,0.673605,0.002876,-0.003902,0.739076
150000.000000,-0.592302,0.013434,0.080175,0.673688,0.002679,-0.003981,0.739000
160000.000000,-0.592319,0.013447,0.080194,0.673824,0.002566,-0.003974,0.738877
170000.000000,-0.592371,0.013582,0.080332,0.673984,0.002619,-0.003837,0.738731
180000.000000,-0.592390,0.013581,0.080340,0.674122,0.002601,-0.003841,0.738605
190000.000000,-0.592378,0.013452,0.080223,0.674211,0.002508,-0.004016,0.738523
200000.000000,-0.592388,0.013403,0.080183,0.674253,0.002552,-0.004154,0.738485
210000.000000,-0.592435,0.013477,0.080260,0.674268,0.002764,-0.004173,0.738470
220000.000000,-0.592470,0.013478,0.080270,0.674298,0.002857,-0.004234,0.738441
230000.000000,-0.592505,0.013450,0.080255,0.674362,0.002833,-0.004294,0.738383
240000.000000,-0.592582,0.013570,0.080383,0.674452,0.002905,-0.004170,0.738302
250000.000000,-0.592680,0.013791,0.080607,0.674536,0.003083,-0.003892,0.738225
260000.000000,-0.592710,0.013832,0.080654,0.674568,0.003085,-0.003775,0.738197
270000.000000,-0.592686,0.013748,0.080577,0.674528,0.002949,-0.003814,0.738234
280000.000000,-0.592668,0.013745,0.080573,0.674425,0.002900,-0.003810,0.738328
290000.000000,-0.592655,0.013802,0.080622,0.674287,0.002938,-0.003752,0.738454
300000.000000,-0.592590,0.013700,0.080517,0.674157,0.002811,-0.003848,0.738573
310000.000000,-0.592503,0.013535,0.080349,0.674050,0.002597,-0.004021,0.738670
320000.000000,-0.592450,0.013501,0.080304,0.673969,0.002516,-0.004074,0.738744
330000.000000,-0.592427,0.013553,0.080343,0.673913,0.002542,-0.004031,0.738796
340000.000000,-0.592390,0.013490,0.080278,0.673882,0.002431,-0.004111,0.738824
350000.000000,-0.592368,0.013418,0.080210,0.673873,0.002281,-0.004227,0.738832
360000.000000,-0.592399,0.013503,0.080295,0.673879,0.002303,-0.004196,0.738826
370000.000000,-0.592447,0.013635,0.080429,0.673886,0.002433,-0.004087,0.738820
380000.000000,-0.592444,0.013583,0.080391,0.673876,0.002437,-0.004126,0.738829
390000.000000,-0.592423,0.013476,0.080304,0.673846,0.002428,-0.004215,0.738856
400000.000000,-0.592430,0.013491,0.080332,0.673796,0.002592,-0.004177,0.738901
410000.000000,-0.592431,0.013524,0.080367,0.673730,0.002784,-0.004112,0.738961
420000.000000,-0.592371,0.013392,0.080226,0.673652,0.002723,-0.004242,0.739032
430000.000000,-0.592293,0.013246,0.080056,0.673567,0.002542,-0.004441,0.739109
440000.000000,-0.592251,0.013254,0.080025,0.673483,0.002455,-0.004518,0.739185
450000.000000,-0.592227,0.013312,0.080049,0.673428,0.002394,-0.004534,0.739235
460000.000000,-0.592195,0.013278,0.080005,0.673430,0.002215,-0.004621,0.739233
470000.000000,-0.592194,0.013301,0.080031,0.673489,0.002088,-0.004633,0.739179
480000.000000,-0.592247,0.013491,0.080227,0.673590,0.002190,-0.004433,0.739089
490000.000000,-0.592293,0.013629,0.080371,0.673695,0.002363,-0.004222,0.738994
500000.000000,-0.592278,0.013524,0.080272,0.673772,0.002418,-0.004217,0.738924
510000.000000,-0.592251,0.013365,0.080109,0.673811,0.002515,-0.004277,0.738887
520000.000000,-0.592256,0.013317,0.080049,0.673818,0.002794,-0.004239,0.738880
530000.000000,-0.592263,0.013261,0.079990,0.673802,0.003014,-0.004234,0.738893
540000.000000,-0.592254,0.013118,0.079864,0.673776,0.002969,-0.004370,0.738916
550000.000000,-0.592273,0.013063,0.079836,0.673745,0.002848,-0.004473,0.738944
560000.000000,-0.592339,0.013187,0.079984,0.673722,0.002838,-0.004403,0.738966
570000.000000,-0.592386,0.013264,0.080080,0.673747,0.002831,-0.004321,0.738944
580000.000000,-0.592379,0.013185,0.080015,0.673846,0.002775,-0.004327,0.738854
590000.000000,-0.592374,0.013142,0.079972,0.674008,0.002865,-0.004251,0.738706
600000.000000,-0.592417,0.013243,0.080056,0.674186,0.003195,-0.003995,0.738544
610000.000000,-0.592498,0.013311,0.080096,0.674263,0.003459,-0.003793,0.738473
620000.000000,-0.592623,0.013297,0.080045,0.674167,0.003503,-0.003755,0.738561
630000.000000,-0.592823,0.013385,0.080082,0.673903,0.003524,-0.003704,0.738802
640000.000000,-0.593099,0.013638,0.080263,0.673520,0.003646,-0.003542,0.739152
650000.000000,-0.593387,0.013827,0.080358,0.673094,0.003654,-0.003493,0.739539
660000.000000,-0.593669,0.013914,0.080327,0.672685,0.003498,-0.003616,0.739912
670000.000000,-0.593978,0.014082,0.080357,0.672310,0.003401,-0.003715,0.740253
680000.000000,-0.594299,0.014359,0.080493,0.671981,0.003450,-0.003704,0.740551
690000.000000,-0.594527,0.014470,0.080495,0.671711,0.003388,-0.003798,0.740796
700000.000000,-0.594645,0.014395,0.080357,0.671505,0.003180,-0.004023,0.740982
710000.000000,-0.594724,0.014356,0.080280,0.671360,0.003048,-0.004173,0.741113
720000.000000,-0.594798,0.014423,0.080321,0.671271,0.003075,-0.004168,0.741194
730000.000000,-0.594834,0.014411,0.080290,0.671232,0.003032,-0.004194,0.741229
740000.000000,-0.594851,0.014359,0.080215,0.671235,0.002927,-0.004239,0.741227
750000.000000,-0.594898,0.014446,0.080271,0.671268,0.002972,-0.004122,0.741197
760000.000000,-0.594965,0.014634,0.080428,0.671302,0.003183,-0.003858,0.741167
770000.000000,-0.594971,0.014622,0.080407,0.671283,0.003253,-0.003775,0.741185
780000.000000,-0.594925,0.014448,0.080245,0.671191,0.003189,-0.003888,0.741267
790000.000000,-0.594889,0.014332,0.080150,0.671036,0.003212,-0.003988,0.741407
800000.000000,-0.594876,0.014296,0.080139,0.670840,0.003351,-0.004018,0.741584
810000.000000,-0.594847,0.014149,0.080027,0.670637,0.003373,-0.004140,0.741766
