time_us,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z,omega_x,omega_y,omega_z,omega_dot_x,omega_dot_y,omega_dot_z
0.000000,-0.592495,0.013473,0.080251,0.674152,0.002947,-0.004175,0.738575,-0.005428,-0.007784,-0.007100,0.000136,0.000377,0.000301
10000.000000,-0.592481,0.013424,0.080192,0.674179,0.002900,-0.004181,0.738551,-0.005426,-0.007780,-0.007097,0.049934,0.121120,0.098576
20000.000000,-0.592467,0.013376,0.080133,0.674205,0.002853,-0.004188,0.738527,-0.004429,-0.005362,-0.005128,0.099953,0.241635,0.197793
30000.000000,-0.592458,0.013345,0.080095,0.674216,0.002830,-0.004185,0.738517,-0.003427,-0.002948,-0.003141,0.352609,0.082951,1.235372
40000.000000,-0.592449,0.013314,0.080057,0.674228,0.002808,-0.004182,0.738506,0.002623,-0.003703,0.019579,0.604584,-0.075469,2.270617
50000.000000,-0.592397,0.013284,0.080012,0.674072,0.002821,-0.004229,0.738649,0.008664,-0.004457,0.042271,0.063225,0.061482,0.793148
60000.000000,-0.592344,0.013255,0.079967,0.673915,0.002835,-0.004275,0.738791,0.003888,-0.002473,0.035442,-0.477470,0.198433,-0.684518
70000.000000,-0.592329,0.013292,0.080020,0.673809,0.002831,-0.004273,0.738887,-0.000885,-0.000488,0.028581,-0.230641,0.106977,-0.811051
80000.000000,-0.592314,0.013329,0.080072,0.673704,0.002827,-0.004271,0.738984,-0.000725,-0.000333,0.019221,0.014021,0.017408,-0.937129
90000.000000,-0.592304,0.013353,0.080106,0.673667,0.002824,-0.004270,0.739017,-0.000605,-0.000140,0.009838,-0.475917,0.500568,-1.225950
100000.000000,-0.592295,0.013377,0.080139,0.673631,0.002822,-0.004267,0.739050,-0.010244,0.009678,-0.005298,-0.961595,0.979271,-1.510022
110000.000000,-0.592280,0.013363,0.080102,0.673707,0.002827,-0.004129,0.738981,-0.019836,0.019445,-0.020362,-0.301595,0.186739,-0.434531
120000.000000,-0.592266,0.013349,0.080066,0.673783,0.002831,-0.003990,0.738913,-0.016275,0.013413,-0.013989,0.356241,-0.604023,0.638103
130000.000000,-0.592257,0.013341,0.080042,0.673812,0.002815,-0.003919,0.738887,-0.012712,0.007365,-0.007600,0.631472,-1.490742,1.524747
140000.000000,-0.592248,0.013332,0.080019,0.673840,0.002800,-0.003847,0.738862,-0.003646,-0.016402,0.016506,0.904604,-2.370745,2.399211
150000.000000,-0.592270,0.013355,0.080081,0.673689,0.002670,-0.004002,0.738999,0.005380,-0.040050,0.040384,0.010721,-0.072302,-1.207023
160000.000000,-0.592292,0.013377,0.080143,0.673540,0.002542,-0.004156,0.739135,-0.003432,-0.017848,-0.007634,-0.879201,2.215097,-4.788080
170000.000000,-0.592312,0.013404,0.080166,0.673745,0.002515,-0.004097,0.738948,-0.012204,0.004252,-0.055377,-0.327950,1.038996,-1.537473
180000.000000,-0.592333,0.013431,0.080189,0.673949,0.002488,-0.004038,0.738762,-0.009991,0.002932,-0.038384,0.222235,-0.131595,1.696045
190000.000000,-0.592346,0.013448,0.080204,0.674029,0.002468,-0.004004,0.738690,-0.007759,0.001620,-0.021457,1.163828,-0.056625,1.083524
200000.000000,-0.592359,0.013464,0.080218,0.674108,0.002447,-0.003970,0.738618,0.013286,0.001799,-0.016713,2.102600,0.018011,0.474253
210000.000000,-0.592384,0.013431,0.080196,0.674152,0.002570,-0.004091,0.738577,0.034293,0.001980,-0.011971,0.739963,-0.021734,0.427171
220000.000000,-0.592409,0.013398,0.080174,0.674196,0.002693,-0.004211,0.738536,0.028085,0.001365,-0.008170,-0.624722,-0.056630,0.375043
230000.000000,-0.592425,0.013377,0.080160,0.674212,0.002769,-0.004289,0.738520,0.021799,0.000848,-0.004471,-1.384531,1.195435,-1.013987
240000.000000,-0.592441,0.013356,0.080146,0.674228,0.002846,-0.004366,0.738505,0.000395,0.025273,-0.028449,-2.134720,2.434748,-2.388778
250000.000000,-0.592546,0.013523,0.080325,0.674423,0.002957,-0.004122,0.738328,-0.020896,0.049543,-0.052246,-0.696872,-0.168307,0.961500
260000.000000,-0.592650,0.013689,0.080502,0.674617,0.003068,-0.003879,0.738152,-0.013543,0.021907,-0.009219,0.734261,-2.760315,4.296161
270000.000000,-0.592651,0.013695,0.080511,0.674492,0.003027,-0.003875,0.738266,-0.006211,-0.005664,0.033677,0.423589,-1.290268,1.596878
280000.000000,-0.592653,0.013700,0.080519,0.674368,0.002986,-0.003871,0.738379,-0.005071,-0.003898,0.022718,0.113467,0.175281,-1.092804
290000.000000,-0.592653,0.013703,0.080524,0.674324,0.002965,-0.003863,0.738419,-0.003941,-0.002158,0.011821,-0.132723,-0.704163,0.190134
300000.000000,-0.592653,0.013706,0.080528,0.674281,0.002944,-0.003856,0.738459,-0.007725,-0.017981,0.026521,-0.377409,-1.579066,1.466143
310000.000000,-0.592574,0.013637,0.080453,0.674128,0.002781,-0.003926,0.738599,-0.011489,-0.033739,0.041144,-0.080671,-0.262377,0.061381
320000.000000,-0.592496,0.013568,0.080378,0.673976,0.002619,-0.003997,0.738738,-0.009339,-0.023229,0.027748,0.214762,1.048322,-1.337532
330000.000000,-0.592446,0.013524,0.080330,0.673923,0.002548,-0.004013,0.738787,-0.007194,-0.012773,0.014393,0.528825,0.256147,-1.548563
340000.000000,-0.592396,0.013480,0.080282,0.673869,0.002477,-0.004030,0.738835,0.001238,-0.018106,-0.003223,0.841168,-0.529691,-1.757999
350000.000000,-0.592417,0.013468,0.080256,0.673946,0.002422,-0.004145,0.738765,0.009629,-0.023367,-0.020767,0.083379,0.555963,-0.253510
360000.000000,-0.592438,0.013456,0.080230,0.674021,0.002368,-0.004259,0.738696,0.002905,-0.006987,-0.008293,-0.670802,1.634047,1.244533
370000.000000,-0.592441,0.013497,0.080283,0.674006,0.002390,-0.004213,0.738710,-0.003787,0.009314,0.004124,-0.300988,0.670383,0.551962
380000.000000,-0.592444,0.013537,0.080335,0.673991,0.002411,-0.004168,0.738723,-0.003115,0.006421,0.002746,0.069223,-0.287801,-0.135074
390000.000000,-0.592446,0.013563,0.080368,0.673987,0.002416,-0.004147,0.738728,-0.002402,0.003558,0.001422,0.571413,0.090068,0.538927
400000.000000,-0.592448,0.013588,0.080401,0.673981,0.002422,-0.004126,0.738733,0.008314,0.008222,0.013525,1.069102,0.465021,1.207111
410000.000000,-0.592425,0.013517,0.080342,0.673887,0.002534,-0.004153,0.738819,0.018980,0.012859,0.025565,0.360542,0.032381,0.210280
420000.000000,-0.592402,0.013445,0.080283,0.673792,0.002646,-0.004179,0.738904,0.015525,0.008870,0.017730,-0.345664,-0.401324,-0.781314
430000.000000,-0.592387,0.013400,0.080245,0.673756,0.002705,-0.004207,0.738937,0.012066,0.004832,0.009938,-0.486984,-1.983909,0.486419
440000.000000,-0.592373,0.013354,0.080207,0.673719,0.002763,-0.004235,0.738971,0.005785,-0.030808,0.027459,-0.627693,-3.558023,1.747680
450000.000000,-0.592285,0.013269,0.080067,0.673551,0.002517,-0.004457,0.739123,-0.000487,-0.066328,0.044892,-0.903747,0.514192,-1.301084
460000.000000,-0.592197,0.013183,0.079927,0.673384,0.002271,-0.004677,0.739275,-0.012290,-0.020524,0.001437,-1.179040,4.575401,-4.339807
470000.000000,-0.592220,0.013303,0.080048,0.673540,0.002283,-0.004504,0.739134,-0.024068,0.025180,-0.041904,-0.371268,1.893517,-1.542846
480000.000000,-0.592243,0.013421,0.080169,0.673695,0.002294,-0.004331,0.738993,-0.019715,0.017346,-0.029420,0.435435,-0.781423,1.246834
490000.000000,-0.592258,0.013497,0.080245,0.673759,0.002277,-0.004242,0.738936,-0.015360,0.009551,-0.016968,1.548711,-0.218253,1.757340
500000.000000,-0.592273,0.013573,0.080322,0.673822,0.002260,-0.004153,0.738879,0.011259,0.012981,0.005727,2.659881,0.342200,2.267498
510000.000000,-0.592255,0.013452,0.080198,0.673717,0.002449,-0.004238,0.738974,0.037838,0.016395,0.028382,0.985055,-0.083571,0.693358
520000.000000,-0.592237,0.013331,0.080075,0.673612,0.002637,-0.004322,0.739068,0.030960,0.011309,0.019594,-0.688958,-0.505839,-0.886474
530000.000000,-0.592226,0.013254,0.079996,0.673571,0.002742,-0.004390,0.739104,0.024059,0.006278,0.010653,-0.795084,0.298468,-2.596404
540000.000000,-0.592215,0.013177,0.079917,0.673533,0.002846,-0.004457,0.739139,0.015058,0.017279,-0.032334,-0.898060,1.097233,-4.288761
550000.000000,-0.592243,0.013108,0.079829,0.673811,0.002969,-0.004386,0.738885,0.006098,0.028223,-0.075122,-1.010305,-0.991359,0.708066
560000.000000,-0.592270,0.013039,0.079742,0.674089,0.003092,-0.004314,0.738631,-0.005148,-0.002548,-0.018173,-1.123905,-3.074371,5.691029
570000.000000,-0.592306,0.013102,0.079856,0.673945,0.002915,-0.004365,0.738763,-0.016380,-0.033264,0.038698,-0.409639,-1.017974,2.217682
