time_us,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z
0.000000,-0.592495,0.013473,0.080251,0.674152,0.002947,-0.004175,0.738575
10000.000000,-0.592497,0.013509,0.080302,0.674158,0.002943,-0.004057,0.738570
20000.000000,-0.592496,0.013512,0.080302,0.674137,0.002971,-0.004068,0.738589
30000.000000,-0.592488,0.013455,0.080212,0.674068,0.003076,-0.004338,0.738651
40000.000000,-0.592480,0.013428,0.080168,0.673957,0.003368,-0.004743,0.738748
50000.000000,-0.592475,0.013477,0.080238,0.673823,0.003830,-0.005133,0.738865
60000.000000,-0.592470,0.013511,0.080286,0.673705,0.004140,-0.005395,0.738969
70000.000000,-0.592464,0.013487,0.080252,0.673627,0.004128,-0.005445,0.739040
80000.000000,-0.592460,0.013485,0.080251,0.673586,0.003944,-0.005238,0.739080
90000.000000,-0.592462,0.013541,0.080337,0.673569,0.003716,-0.004818,0.739099
100000.000000,-0.592462,0.013560,0.080365,0.673554,0.003384,-0.004387,0.739117
110000.000000,-0.592458,0.013516,0.080298,0.673529,0.002966,-0.004038,0.739143
120000.000000,-0.592457,0.013494,0.080260,0.673500,0.002604,-0.003697,0.739174
130000.000000,-0.592459,0.013528,0.080306,0.673481,0.002323,-0.003303,0.739193
140000.000000,-0.592461,0.013532,0.080311,0.673507,0.001905,-0.002864,0.739172
150000.000000,-0.592460,0.013500,0.080264,0.673593,0.001313,-0.002365,0.739098
160000.000000,-0.592464,0.013510,0.080284,0.673728,0.000737,-0.001787,0.738977
170000.000000,-0.592471,0.013575,0.080388,0.673893,0.000436,-0.001359,0.738828
180000.000000,-0.592475,0.013579,0.080401,0.674051,0.000717,-0.001690,0.738683
190000.000000,-0.592475,0.013516,0.080315,0.674177,0.001717,-0.002931,0.738562
200000.000000,-0.592477,0.013477,0.080264,0.674260,0.003359,-0.004768,0.738471
210000.000000,-0.592483,0.013491,0.080293,0.674299,0.005171,-0.006632,0.738410
220000.000000,-0.592490,0.013490,0.080304,0.674322,0.006223,-0.007732,0.738370
230000.000000,-0.592499,0.013496,0.080328,0.674344,0.006283,-0.007775,0.738350
240000.000000,-0.592513,0.013580,0.080469,0.674363,0.005659,-0.006897,0.738346
250000.000000,-0.592530,0.013716,0.080687,0.674363,0.004692,-0.005524,0.738365
